Chapter,Word Count
Jeremiah 48,1331
Deuteronomy 4,1349
Luke 12,1353
Exodus 29,1353
Genesis 31,1356
Luke 8,1386
Luke 9,1393
2 Samuel 19,1404
Exodus 12,1407
Jeremiah 23,1411
Acts 7,1417
Luke 22,1428
Jeremiah 31,1430
Judges 9,1437
Daniel 11,1439
Daniel 2,1453
Leviticus 25,1463
Jeremiah 32,1498
1 Samuel 14,1501
Luke 1,1517
Mark 14,1524
John 6,1551
Ezekiel 20,1556
Jeremiah 50,1591
Matthew 26,1600
Leviticus 14,1612
1 Samuel 17,1613
Ezekiel 16,1698
Genesis 24,1704
Leviticus 13,1815
Numbers 7,1842
Deuteronomy 28,1853
1 Kings 8,1857
Jeremiah 51,1981
Psalms 119,2353

